,address,area,date,location,time,type
1276,49027X KAM HWY,KAHALUU,12/3/2016,KUALOA RANCH,5:21:48 AM,TRAFFIC NUISANCE OR PARKING VIOLATION
1277,117X WAINIHA ST,HAWAII KAI,12/3/2016,MARINERS VILLAGE III,5:18:58 AM,MOTOR VEHICLE COLLISION
1278,270X WAIALAE AVE,MCCULLY,12/2/2016,HUMANE SOCIETY,2:26:44 AM,STALLED/HAZARDOUS VEHICLE
1279,45005X LILIPUNA RD,KANEOHE,12/2/2016, ,1:56:37 AM,MOTOR VEHICLE COLLISION
1280,24X H1W FWY,MANOA,12/2/2016,H1W UNIVERSITY OFF,1:47:58 AM,TRAFFIC NUISANCE OR PARKING VIOLATION
1281,85128X WAIANAE VALLEY RD,WAIANAE,11/30/2016, ,7:35:43 PM,MOTOR VEHICLE COLLISION
1282,H1E PEARL CITY OFF,WAIPAHU,11/30/2016,H1E PEARL CITY OFF,7:18:50 PM,TRAFFIC NUISANCE OR PARKING VIOLATION
1283,H2S PINEAPPLE OP,MILILANI,11/30/2016,H2S PINEAPPLE OP,7:13:35 PM,TRAFFIC NUISANCE OR PARKING VIOLATION
1284,45099X LIKELIKE HWY,KANEOHE,11/30/2016,WILSON TUNNEL D4 N,7:10:37 PM,HAZARDOUS DRIVER
1285,73X MCCULLY ST,MCCULLY,11/30/2016, ,7:07:02 PM,MOTOR VEHICLE COLLISION
1286,20X H1W FWY,NUUANU,11/30/2016,H1W PALAMA OFF,7:03:27 PM,MOTOR VEHICLE COLLISION
1287,87207X FARRINGTON HWY,NANAKULI,11/30/2016,SACK N SAVE NANAKULI,6:59:42 PM,MOTOR VEHICLE COLLISION
1288,107X LOHO ST,KAILUA,11/30/2016, ,6:56:08 PM,MOTOR VEHICLE COLLISION
1289,20X H1W FWY,KALIHI,11/30/2016,H1W HOUGHTAILING OFF,6:55:04 PM,MOTOR VEHICLE COLLISION
1290,LILIHA ST&N; VINEYARD BLVD,DOWNTOWN,11/30/2016, ,6:48:47 PM,TRAFFIC NUISANCE OR PARKING VIOLATION
1291,H3E W HARANO TUNNEL,AIEA,12/3/2016,H3E W HARANO TUNNEL,12:47:17 AM,HAZARDOUS DRIVER
1292,H3E LOOKOUT,KAILUA,12/3/2016,H3E LOOKOUT,12:46:36 AM,HAZARDOUS DRIVER
1293,95047X KAULIA PL,MILILANI,12/3/2016, ,12:39:43 AM,MOTOR VEHICLE COLLISION
1294,PAIWA ST&WAIPAHU; ST,WAIPAHU,12/3/2016, ,12:35:28 AM,MOTOR VEHICLE COLLISION
1295,GULICK AVE&N; SCHOOL ST,KALIHI,12/3/2016, ,12:32:59 AM,MOTOR VEHICLE COLLISION
1296,11X ONEAWA ST,KAILUA,12/3/2016,JITB KAILUA,12:26:54 AM,MOTOR VEHICLE COLLISION
1297,58X KEOLU DR,KAILUA,12/3/2016, ,12:24:20 AM,MOTOR VEHICLE COLLISION
1298,21X H1E FWY,KALIHI,12/3/2016,H1E LILIHA OP,12:10:26 AM,TRAFFIC NUISANCE OR PARKING VIOLATION
1299,N NIMITZ HWY&PACIFIC; ST,KALIHI,12/3/2016, ,12:08:01 AM,TRAFFIC NUISANCE OR PARKING VIOLATION
1300,330X TANTALUS DR,MAKIKI,12/3/2016, ,5:16:00 PM,TRAFFIC NUISANCE OR PARKING VIOLATION
1301,KAHUAPAANI ST&ULUNE; ST,AIEA,12/3/2016, ,5:14:14 PM,TRAFFIC SIGNAL PROBLEM
1302,KALAKAUA AVE&SARATOGA; RD,WAIKIKI,12/3/2016, ,5:08:26 PM,TRAFFIC INCIDENT - NO COLLISION
1303,MFW FT SHAFT OP, ,12/3/2016, ,5:03:46 PM,STALLED/HAZARDOUS VEHICLE
1304,21X H1E FWY,DOWNTOWN,12/3/2016,H1E PALI OFF,4:56:07 PM,TRAFFIC NUISANCE OR PARKING VIOLATION
1305,HAMAKUA DR&KAILUA; RD,KAILUA,12/3/2016, ,4:48:53 PM,TRAFFIC NUISANCE OR PARKING VIOLATION
1306,JACK LN&PALI; HWY,NUUANU,12/3/2016, ,4:46:41 PM,HAZARDOUS DRIVER
1307,GREEN ST&WARD; AVE,PUNCHBOWL,12/3/2016, ,4:46:29 PM,STALLED/HAZARDOUS VEHICLE
1308,300X TANTALUS DR,MAKIKI,12/3/2016,3000-BLK TANTALUS,4:39:27 PM,TRAFFIC NUISANCE OR PARKING VIOLATION
1309,92078X FARRINGTON HWY,KAPOLEI,12/3/2016,HONOKAI HALE,4:32:55 PM,TRAFFIC SIGNAL PROBLEM
1310,11X H1W FWY,PEARL CITY,12/3/2016,H1W PEARL CITY OFF,10:15:19 AM,TRAFFIC NUISANCE OR PARKING VIOLATION
1311,4X H2N FWY,MILILANI,12/3/2016,H2N KIPAPA GULCH,10:08:47 AM,MOTOR VEHICLE COLLISION
1312,HAO ST&NOHU; ST,AINA HAINA,12/3/2016, ,9:59:58 AM,TRAFFIC NUISANCE OR PARKING VIOLATION
1313,30X KEALAHOU ST,HAWAII KAI,12/3/2016, ,9:54:16 AM,MOTOR VEHICLE COLLISION - TOWED
1314,880X KALANIANAOLE HWY,HAWAII KAI,12/3/2016,SANDY BCH PK,9:46:37 AM,HAZARDOUS DRIVER
1315,86012X FARRINGTON HWY,WAIANAE,12/3/2016,RADIO SHACK,9:40:35 AM,MOTOR VEHICLE COLLISION
1316,4X H2N FWY,MILILANI,12/3/2016,H2N PINEAPPLE OP,9:39:16 AM,MOTOR VEHICLE COLLISION
1317,HOOKANIKE ST&HOOMALU; ST,PEARL CITY,12/3/2016, ,9:38:12 AM,MOTOR VEHICLE COLLISION
